folder_path,model_a,model_b,winner
20251129_140405/003_easy_a_giraffe_blowing_a_bubble,gpt-5.1-2025-11-13,gemini-3-pro-preview,a
20251129_140405/004_easy_a_robot_walking_a_dog,gpt-5-mini-2025-08-07,claude-sonnet-4-5-20250929,a
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gemini-2.5-flash-lite,claude-haiku-4-5-20251001,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,claude-haiku-4-5-20251001,gemini-2.5-flash,a
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,gpt-5-codex,gpt-5.1-2025-11-13,a
20251129_140405/002_easy_a_donut_with_a_smiling_face,gemini-2.5-flash-lite,claude-opus-4-1-20250805,b
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,gpt-5-nano-2025-08-07,gemini-3-pro-preview,b
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,gpt-5-nano-2025-08-07,gemini-2.5-flash-lite,a
20251129_140405/006_easy_a_rabbit_holding_a_balloon,gpt-5-mini-2025-08-07,gpt-5.1-2025-11-13,a
20251129_140405/003_easy_a_giraffe_blowing_a_bubble,gemini-3-pro-preview,claude-opus-4-1-20250805,a
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,claude-sonnet-4-5-20250929,claude-opus-4-1-20250805,a
20251129_140405/010_easy_a_panda_with_sunglasses,gpt-5.1-2025-11-13,gpt-5-mini-2025-08-07,a
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,gemini-2.5-flash-lite,claude-haiku-4-5-20251001,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,a
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gpt-5.1-2025-11-13,gemini-2.5-flash-lite,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,claude-sonnet-4-5-20250929,gpt-5.1-2025-11-13,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gpt-5-mini-2025-08-07,claude-opus-4-1-20250805,b
20251129_140405/010_easy_a_panda_with_sunglasses,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,a
20251129_140405/010_easy_a_panda_with_sunglasses,gpt-5-codex,gpt-5-mini-2025-08-07,b
20251129_140405/008_easy_a_cupcake_wearing_a_crown,claude-haiku-4-5-20251001,gpt-5-mini-2025-08-07,b
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,claude-sonnet-4-5-20250929,gemini-2.5-flash,b
20251129_140405/003_easy_a_giraffe_blowing_a_bubble,claude-opus-4-1-20250805,gpt-5-mini-2025-08-07,b
20251129_140405/017_medium_Render_an_SVG_top_view_of_a_2022-era_gro,claude-sonnet-4-5-20250929,gemini-3-pro-preview,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gpt-5-mini-2025-08-07,gemini-3-pro-preview,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gemini-2.5-flash-lite,gemini-2.5-flash,b
20251129_140405/018_medium_Draw_an_SVG_of_a_male_northern_cardinal,gpt-5-codex,gemini-2.5-flash-lite,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,gpt-5-codex,gpt-5.1-2025-11-13,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,gpt-5-mini-2025-08-07,gemini-3-pro-preview,a
20251129_140405/007_easy_a_fox_playing_a_guitar,claude-sonnet-4-5-20250929,gemini-3-pro-preview,b
20251129_140405/002_easy_a_donut_with_a_smiling_face,gpt-5-mini-2025-08-07,gpt-5.1-2025-11-13,b
20251129_140405/010_easy_a_panda_with_sunglasses,gemini-2.5-flash,gpt-5-nano-2025-08-07,b
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,claude-opus-4-1-20250805,claude-haiku-4-5-20251001,b
20251129_140405/008_easy_a_cupcake_wearing_a_crown,claude-opus-4-1-20250805,gemini-2.5-flash,b
20251129_140405/006_easy_a_rabbit_holding_a_balloon,gemini-2.5-flash,gpt-5-codex,b
20251129_140405/007_easy_a_fox_playing_a_guitar,gemini-3-pro-preview,gpt-5-mini-2025-08-07,a
20251129_140405/005_easy_a_dinosaur_flying_a_kite,claude-sonnet-4-5-20250929,claude-haiku-4-5-20251001,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gemini-2.5-flash-lite,gpt-5.1-2025-11-13,b
20251129_140405/007_easy_a_fox_playing_a_guitar,gemini-2.5-flash-lite,gpt-5-nano-2025-08-07,b
20251129_140405/018_medium_Draw_an_SVG_of_a_male_northern_cardinal,gemini-3-pro-preview,claude-haiku-4-5-20251001,b
20251129_140405/002_easy_a_donut_with_a_smiling_face,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,b
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gemini-3-pro-preview,gpt-5-nano-2025-08-07,a
20251129_140405/004_easy_a_robot_walking_a_dog,gpt-5.1-2025-11-13,claude-opus-4-1-20250805,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gpt-5-mini-2025-08-07,gemini-2.5-flash,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gpt-5-mini-2025-08-07,gemini-2.5-flash,b
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,gpt-5-nano-2025-08-07,gemini-2.5-flash,b
20251129_140405/001_easy_a_turtle_wearing_roller_skates,claude-sonnet-4-5-20250929,gpt-5-mini-2025-08-07,a
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gpt-5-nano-2025-08-07,gemini-2.5-flash-lite,a
20251129_140405/001_easy_a_turtle_wearing_roller_skates,gemini-3-pro-preview,gpt-5-codex,b
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,gpt-5-nano-2025-08-07,claude-haiku-4-5-20251001,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gpt-5-mini-2025-08-07,claude-opus-4-1-20250805,b
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gpt-5-mini-2025-08-07,gemini-2.5-flash-lite,a
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,claude-sonnet-4-5-20250929,claude-haiku-4-5-20251001,a
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,gpt-5.1-2025-11-13,gpt-5-nano-2025-08-07,a
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,gpt-5-mini-2025-08-07,gemini-3-pro-preview,b
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,gemini-2.5-flash-lite,claude-opus-4-1-20250805,a
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gpt-5.1-2025-11-13,gemini-2.5-flash,b
20251129_140405/010_easy_a_panda_with_sunglasses,claude-haiku-4-5-20251001,gemini-2.5-flash,a
20251129_140405/017_medium_Render_an_SVG_top_view_of_a_2022-era_gro,claude-sonnet-4-5-20250929,gpt-5-mini-2025-08-07,a
20251129_140405/017_medium_Render_an_SVG_top_view_of_a_2022-era_gro,claude-sonnet-4-5-20250929,claude-opus-4-1-20250805,a
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gpt-5-nano-2025-08-07,gpt-5.1-2025-11-13,b
20251129_140405/008_easy_a_cupcake_wearing_a_crown,gpt-5-nano-2025-08-07,gemini-3-pro-preview,b
20251129_140405/004_easy_a_robot_walking_a_dog,gemini-2.5-flash,claude-sonnet-4-5-20250929,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gemini-3-pro-preview,gemini-2.5-flash-lite,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,claude-sonnet-4-5-20250929,gpt-5-mini-2025-08-07,b
20251129_140405/010_easy_a_panda_with_sunglasses,gpt-5-nano-2025-08-07,claude-sonnet-4-5-20250929,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gemini-2.5-flash-lite,gpt-5-codex,a
20251129_140405/002_easy_a_donut_with_a_smiling_face,gemini-2.5-flash-lite,gemini-3-pro-preview,b
20251129_140405/017_medium_Render_an_SVG_top_view_of_a_2022-era_gro,gpt-5-mini-2025-08-07,gemini-2.5-flash,a
20251129_140405/004_easy_a_robot_walking_a_dog,gpt-5.1-2025-11-13,gpt-5-mini-2025-08-07,a
20251129_140405/006_easy_a_rabbit_holding_a_balloon,gemini-3-pro-preview,claude-opus-4-1-20250805,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gemini-2.5-flash-lite,gpt-5-codex,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,b
20251129_140405/002_easy_a_donut_with_a_smiling_face,claude-haiku-4-5-20251001,claude-opus-4-1-20250805,b
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,claude-opus-4-1-20250805,gpt-5.1-2025-11-13,a
20251129_140405/001_easy_a_turtle_wearing_roller_skates,gpt-5.1-2025-11-13,gemini-2.5-flash,b
20251129_140405/010_easy_a_panda_with_sunglasses,gemini-2.5-flash-lite,gpt-5.1-2025-11-13,b
20251129_140405/018_medium_Draw_an_SVG_of_a_male_northern_cardinal,claude-haiku-4-5-20251001,gpt-5-codex,b
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,gemini-3-pro-preview,gpt-5.1-2025-11-13,a
20251129_140405/005_easy_a_dinosaur_flying_a_kite,claude-haiku-4-5-20251001,claude-opus-4-1-20250805,a
20251129_140405/002_easy_a_donut_with_a_smiling_face,gpt-5.1-2025-11-13,claude-opus-4-1-20250805,b
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,claude-sonnet-4-5-20250929,gemini-2.5-flash-lite,a
20251129_140405/004_easy_a_robot_walking_a_dog,claude-opus-4-1-20250805,gpt-5-nano-2025-08-07,a
20251129_140405/010_easy_a_panda_with_sunglasses,claude-sonnet-4-5-20250929,gemini-2.5-flash-lite,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,claude-sonnet-4-5-20250929,gpt-5-nano-2025-08-07,a
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,gemini-2.5-flash-lite,claude-opus-4-1-20250805,b
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gemini-2.5-flash-lite,gpt-5-codex,b
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gemini-2.5-flash,claude-sonnet-4-5-20250929,b
20251129_140405/006_easy_a_rabbit_holding_a_balloon,claude-haiku-4-5-20251001,gemini-3-pro-preview,b
20251129_140405/007_easy_a_fox_playing_a_guitar,gpt-5-codex,gemini-2.5-flash-lite,a
20251129_140405/017_medium_Render_an_SVG_top_view_of_a_2022-era_gro,gpt-5.1-2025-11-13,claude-haiku-4-5-20251001,a
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,gpt-5-codex,gpt-5-nano-2025-08-07,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,gpt-5-nano-2025-08-07,gpt-5.1-2025-11-13,b
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,gemini-3-pro-preview,gpt-5-codex,b
20251129_140405/010_easy_a_panda_with_sunglasses,claude-haiku-4-5-20251001,claude-opus-4-1-20250805,b
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,gpt-5.1-2025-11-13,claude-opus-4-1-20250805,a
20251129_140405/010_easy_a_panda_with_sunglasses,claude-sonnet-4-5-20250929,claude-opus-4-1-20250805,b
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,claude-opus-4-1-20250805,gpt-5-nano-2025-08-07,b
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gpt-5-codex,gemini-3-pro-preview,b
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gpt-5-mini-2025-08-07,gemini-3-pro-preview,b
20251129_140405/010_easy_a_panda_with_sunglasses,gemini-2.5-flash,claude-sonnet-4-5-20250929,b
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,claude-sonnet-4-5-20250929,gemini-2.5-flash-lite,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,a
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,claude-sonnet-4-5-20250929,gpt-5-codex,b
20251129_140405/002_easy_a_donut_with_a_smiling_face,gemini-2.5-flash,claude-opus-4-1-20250805,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,b
20251129_140405/020_medium_Produce_an_SVG_of_a_common_octopus_inves,claude-sonnet-4-5-20250929,claude-opus-4-1-20250805,a
20251129_140405/005_easy_a_dinosaur_flying_a_kite,claude-haiku-4-5-20251001,gpt-5-codex,b
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,gemini-2.5-flash-lite,gpt-5-codex,b
20251129_140405/002_easy_a_donut_with_a_smiling_face,gemini-3-pro-preview,claude-sonnet-4-5-20250929,a
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,claude-opus-4-1-20250805,gpt-5-codex,a
20251129_140405/020_medium_Produce_an_SVG_of_a_common_octopus_inves,claude-haiku-4-5-20251001,gemini-2.5-flash-lite,b
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,gpt-5-codex,gemini-2.5-flash-lite,b
20251129_140405/018_medium_Draw_an_SVG_of_a_male_northern_cardinal,gpt-5-mini-2025-08-07,gemini-2.5-flash,a
20251129_140405/010_easy_a_panda_with_sunglasses,gpt-5-mini-2025-08-07,gemini-3-pro-preview,a
20251129_140405/002_easy_a_donut_with_a_smiling_face,gpt-5.1-2025-11-13,claude-sonnet-4-5-20250929,b
20251129_140405/007_easy_a_fox_playing_a_guitar,gpt-5-codex,gemini-3-pro-preview,b
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,claude-haiku-4-5-20251001,gpt-5-mini-2025-08-07,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gemini-3-pro-preview,gemini-2.5-flash,b
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,gpt-5.1-2025-11-13,gpt-5-mini-2025-08-07,a
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,claude-sonnet-4-5-20250929,claude-haiku-4-5-20251001,a
20251129_140405/001_easy_a_turtle_wearing_roller_skates,gpt-5.1-2025-11-13,claude-sonnet-4-5-20250929,b
20251129_140405/001_easy_a_turtle_wearing_roller_skates,gpt-5-mini-2025-08-07,gemini-2.5-flash,b
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,gemini-2.5-flash-lite,claude-opus-4-1-20250805,b
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gpt-5-nano-2025-08-07,gemini-2.5-flash-lite,b
20251129_140405/006_easy_a_rabbit_holding_a_balloon,gpt-5-nano-2025-08-07,gpt-5-mini-2025-08-07,b
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,gpt-5.1-2025-11-13,gpt-5-mini-2025-08-07,a
20251129_140405/010_easy_a_panda_with_sunglasses,gemini-2.5-flash-lite,gemini-3-pro-preview,b
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,claude-opus-4-1-20250805,gemini-2.5-flash,a
20251129_140405/005_easy_a_dinosaur_flying_a_kite,claude-sonnet-4-5-20250929,gpt-5-mini-2025-08-07,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gemini-2.5-flash,gpt-5-nano-2025-08-07,a
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gemini-2.5-flash,claude-sonnet-4-5-20250929,b
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,gemini-2.5-flash,gpt-5-nano-2025-08-07,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,gemini-2.5-flash-lite,claude-opus-4-1-20250805,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gpt-5-codex,claude-haiku-4-5-20251001,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gemini-2.5-flash,gpt-5-codex,b
20251129_140405/010_easy_a_panda_with_sunglasses,gpt-5-mini-2025-08-07,claude-opus-4-1-20250805,b
20251129_140405/015_medium_Generate_an_SVG_of_a_worker_honeybee_gat,gpt-5-codex,gemini-3-pro-preview,a
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gemini-2.5-flash-lite,claude-haiku-4-5-20251001,b
20251129_140405/005_easy_a_dinosaur_flying_a_kite,gemini-3-pro-preview,gpt-5-mini-2025-08-07,b
20251129_140405/007_easy_a_fox_playing_a_guitar,gemini-2.5-flash,claude-sonnet-4-5-20250929,b
20251129_140405/021_hard_Inside_a_late-15th-century_Florentine_wo,gpt-5-codex,gpt-5.1-2025-11-13,a
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gemini-2.5-flash-lite,claude-haiku-4-5-20251001,b
20251129_140405/011_medium_Generate_an_SVG_of_a_praying_mantis_on_a,gemini-2.5-flash,gpt-5-nano-2025-08-07,a
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,gpt-5-mini-2025-08-07,gemini-2.5-flash-lite,a
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,claude-sonnet-4-5-20250929,gpt-5-mini-2025-08-07,b
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,gemini-2.5-flash-lite,gpt-5-mini-2025-08-07,b
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,claude-haiku-4-5-20251001,gpt-5-nano-2025-08-07,b
20251129_140405/003_easy_a_giraffe_blowing_a_bubble,gemini-2.5-flash,gpt-5-codex,a
20251129_140405/010_easy_a_panda_with_sunglasses,claude-haiku-4-5-20251001,gpt-5-codex,a
20251129_140405/006_easy_a_rabbit_holding_a_balloon,gpt-5-nano-2025-08-07,gemini-3-pro-preview,b
20251129_140405/019_medium_Generate_an_SVG_cross-section_of_a_chamb,gpt-5-mini-2025-08-07,gpt-5.1-2025-11-13,a
20251129_140405/016_medium_Create_an_SVG_of_a_medieval_trebuchet_in,gemini-2.5-flash,claude-sonnet-4-5-20250929,a
20251129_140405/022_hard_Render_a_cutaway_blueprint_of_a_1930s_ba,gpt-5-nano-2025-08-07,gemini-2.5-flash,b
20251129_140405/026_hard_Compose_a_Baroque_still_life_silver_ewe,gpt-5-mini-2025-08-07,gemini-2.5-flash-lite,a
20251129_140405/014_medium_Draw_an_SVG_of_a_great_white_shark_in_pr,gemini-2.5-flash-lite,gpt-5-codex,b
20251129_140405/012_medium_Create_an_SVG_side_view_of_a_steam_locom,claude-haiku-4-5-20251001,gpt-5-mini-2025-08-07,a
20251129_140405/004_easy_a_robot_walking_a_dog,gpt-5-codex,claude-opus-4-1-20250805,b
20251129_140405/021_hard_Inside_a_late-15th-century_Florentine_wo,gemini-3-pro-preview,gpt-5-mini-2025-08-07,a
20251129_140405/004_easy_a_robot_walking_a_dog,gemini-2.5-flash-lite,claude-opus-4-1-20250805,b
20251129_140405/013_medium_Produce_an_SVG_of_an_Apollo-era_astronau,claude-opus-4-1-20250805,gemini-3-pro-preview,b
20251129_140405/030_hard_Design_an_Escher-inspired_multi-level_li,gpt-5.1-2025-11-13,gemini-2.5-flash,a
20251129_140405/008_easy_a_cupcake_wearing_a_crown,gemini-3-pro-preview,gemini-2.5-flash,a
20251129_140405/009_easy_a_smiling_cloud_raining_hearts,gpt-5.1-2025-11-13,gpt-5-nano-2025-08-07,a
20251129_140405/022_hard_Render_a_cutaway_blueprint_of_a_1930s_ba,gpt-5.1-2025-11-13,gemini-2.5-flash-lite,b
